category,feature,description,priority_level,page,mvp_p1,mvp_p2,project_risk,demo_value,analytical_value,evidence_confidence,notes,risk_signal,demo_signal,analytical_signal,evidence_signal,status_signal,priority_score
Identity,Structural family display,"Show country family such as Innovation-Core, Industrial/Transition, Adaptive/Peripheral.",MVP,Page 1,YES,,1,4,4,4,Core narrative layer.,🟢 Safe,🟠 Strong,🟠 Strong,🟢 Strong,🟢 OK,3.3
Methodology,Assumptions/methodology panel,"Explain non-causal framing, normalization, evidence limits, and interpretation boundaries.",MVP,Page 1 + Page 2,YES,YES,1,2,5,5,Critical credibility feature.,🟢 Safe,🟢 Small,🔵 Flagship,🔵 Robust,🟢 OK,3.15
Navigation,Country selector,Select focal country for exploration.,MVP,Page 1,YES,,1,3,4,5,Core navigation.,🟢 Safe,🟡 Noticeable,🟠 Strong,🔵 Robust,🟢 OK,3.15
Navigation,Compare 2 countries,Compare focal country against one selected comparator.,MVP,Page 1 + Page 2,YES,YES,2,4,4,4,Limit to 2 countries for MVP.,🟢 Low,🟠 Strong,🟠 Strong,🟢 Strong,🟢 OK,3.0
Normalization,EU-relative normalization,Default country positioning relative to EU average.,MVP,Page 1 + Page 2,YES,YES,1,3,5,5,Default MVP view.,🟢 Safe,🟡 Noticeable,🔵 Flagship,🔵 Robust,🟢 OK,3.5
Pathways,Time trajectory lines,Show historical movement or KPI trajectories over time.,MVP,Page 1,YES,,1,3,5,5,Strong descriptive grounding.,🟢 Safe,🟡 Noticeable,🔵 Flagship,🔵 Robust,🟢 OK,3.5
Profile,Country profile summary,"Compact overview of structural profile, KPI position, and pathway interpretation.",MVP,Page 1,YES,,1,4,4,5,Main orientation panel.,🟢 Safe,🟠 Strong,🟠 Strong,🔵 Robust,🟢 OK,3.5
Sandbox,Objective selector,"Choose strategic objective such as balanced, innovation, sustainability, or resilience.",MVP,Page 2,,YES,2,5,4,3,Core sandbox mechanic.,🟢 Low,🔵 Flagship,🟠 Strong,🟡 Moderate,🟢 OK,3.15
Sandbox,Before/after comparison,Compare current profile against adjusted scenario.,MVP,Page 2,,YES,2,5,4,3,Critical learning loop.,🟢 Low,🔵 Flagship,🟠 Strong,🟡 Moderate,🟢 OK,3.15
Sandbox,Reference-system selector,"Compare country to EU average, selected country, or reference profile.",MVP,Page 2,,YES,2,4,4,4,Family reference can be future.,🟢 Low,🟠 Strong,🟠 Strong,🟢 Strong,🟢 OK,3.0
Sandbox,Investment-priority sliders,Adjust strategic emphasis across selected dimensions.,MVP,Page 2,,YES,3,5,4,3,"Keep directional, not predictive.",🟡 Moderate,🔵 Flagship,🟠 Strong,🟡 Moderate,🟢 OK,2.85
Shocks,Energy shock scenario,Apply simplified energy stress scenario.,MVP,Page 2,,YES,2,5,4,4,Use current available shock logic.,🟢 Low,🔵 Flagship,🟠 Strong,🟢 Strong,🟢 OK,3.35
Shocks,Recession shock scenario,Apply simplified economic downturn scenario.,MVP,Page 2,,YES,2,4,4,4,Use current available shock logic.,🟢 Low,🟠 Strong,🟠 Strong,🟢 Strong,🟢 OK,3.0
Tradeoffs,Tradeoff scatter maps,Core 2D tradeoff maps such as innovation vs emissions or growth vs inequality.,MVP,Page 1,YES,,2,5,5,4,Core visual grammar.,🟢 Low,🔵 Flagship,🔵 Flagship,🟢 Strong,🟢 OK,3.7
Tradeoffs,Multi-tradeoff explorer,Allow user to switch between selected predefined tradeoff spaces.,MVP,Page 1,YES,,2,5,5,4,Keep curated list only.,🟢 Low,🔵 Flagship,🔵 Flagship,🟢 Strong,🟢 OK,3.7
UX,Streamlit storytelling layout,Guided page flow instead of overwhelming filter dashboard.,MVP,Page 1 + Page 2,YES,YES,2,5,4,5,Essential UX architecture.,🟢 Low,🔵 Flagship,🟠 Strong,🔵 Robust,🟢 OK,3.55
Data Dimension,Energy dependency dimension,Add energy dependency/profile indicator if easy and clean.,Priority 1A,Page 1 + Page 2,,,2,4,4,4,Only if data integration is simple.,🟢 Low,🟠 Strong,🟠 Strong,🟢 Strong,🟢 OK,3.0
Identity,Sub-family/archetype display,Show refined archetype or subtype label for the selected country.,Priority 1A,Page 1,,,2,4,4,3,Needs careful wording.,🟢 Low,🟠 Strong,🟠 Strong,🟡 Moderate,🟢 OK,2.8
Methodology,Evidence confidence display,Show confidence/interpretation strength for selected features or outputs.,Priority 1A,Page 1 + Page 2,,,2,3,5,5,Strong credibility layer.,🟢 Low,🟡 Noticeable,🔵 Flagship,🔵 Robust,🟢 OK,3.2
Normalization,Absolute/raw toggle,Optional switch from EU-relative view to raw/absolute values.,Priority 1A,Page 1,,,1,2,4,5,Transparency upgrade.,🟢 Safe,🟢 Small,🟠 Strong,🔵 Robust,🟢 OK,2.8
UX,Educational onboarding,Short guided intro explaining how to use the app.,Priority 1A,Page 1 + Page 2,,,2,4,3,4,Good for non-technical audiences.,🟢 Low,🟠 Strong,🟡 Noticeable,🟢 Strong,🟢 OK,2.65
AI,Guided reflection mode,Ask user to reflect before revealing interpretation.,Priority 1B,Page 2,,,3,5,5,3,Strong educational design.,🟡 Moderate,🔵 Flagship,🔵 Flagship,🟡 Moderate,🟢 OK,3.2
AI,AI interpretation placeholder,Reserved panel for future AI-supported interpretation; may use rule-based placeholder.,Priority 1B,Page 2,,,2,5,3,2,AI TBD; architecture only for now.,🟢 Low,🔵 Flagship,🟡 Noticeable,🟠 Weak,🟢 OK,2.6
AI,Suggested next-step prompts,Suggest what the user may explore next.,Priority 1B,Page 2,,,3,4,3,2,Can be rule-based initially.,🟡 Moderate,🟠 Strong,🟡 Noticeable,🟠 Weak,🟢 OK,1.95
Topology,Cluster/topology map,Visual country positioning by structural similarity or cluster family.,Priority 1B,Page 1,,,3,5,5,3,Potential signature visual; keep simple.,🟡 Moderate,🔵 Flagship,🔵 Flagship,🟡 Moderate,🟢 OK,3.2
Pathways,Pathway trajectory arrows,Show movement direction in selected tradeoff or topology space.,Priority 1C,Page 1,,,3,5,4,3,Visually powerful but easy to overcomplicate.,🟡 Moderate,🔵 Flagship,🟠 Strong,🟡 Moderate,🟢 OK,2.85
UX,Export/share results,Save exploration snapshot or selected scenario.,Priority 1C,Page 1 + Page 2,,,2,4,2,4,"Nice demo feature, not core analysis.",🟢 Low,🟠 Strong,🟢 Small,🟢 Strong,🟢 OK,2.3
Data Dimension,Demographic/workforce dimension,"Add aging, labor force, or workforce structure indicators.",Priority 2,General,,,3,3,4,4,Good future structural dimension.,🟡 Moderate,🟡 Noticeable,🟠 Strong,🟢 Strong,🟢 OK,2.35
Dynamics,Re-simulation loop,Allow multiple iterative scenario trials in the sandbox.,Priority 2,Page 2,,,4,5,4,2,Complexity rises quickly.,🟠 High,🔵 Flagship,🟠 Strong,🟠 Weak,🔴 Cut / Future,2.35
Dynamics,Strategy journey tracker,Visualize user exploration history across multiple trials.,Priority 2,Page 2,,,4,5,4,2,Excellent educational concept; not MVP.,🟠 High,🔵 Flagship,🟠 Strong,🟠 Weak,🔴 Cut / Future,2.35
Methodology,Decision robustness learning,Teach how recommendations change under different assumptions.,Priority 2,General,,,4,5,5,2,"Strong concept, not MVP.",🟠 High,🔵 Flagship,🔵 Flagship,🟠 Weak,🔴 Cut / Future,2.7
Methodology,Methodology deep-dive page,"Optional page for clustering, weighting, confidence, assumptions, and robustness.",Priority 2,General,,,4,3,5,4,Possible future Page 3.,🟠 High,🟡 Noticeable,🔵 Flagship,🟢 Strong,🟡 Caution,2.4
Methodology,Weight sensitivity explorer,Allow users to adjust model weights and compare outcome stability.,Priority 2,General,,,4,4,5,2,May be report-only for capstone.,🟠 High,🟠 Strong,🔵 Flagship,🟠 Weak,🔴 Cut / Future,2.35
Topology,PCA topology map,Compress multidimensional structure into interpretable 2D topology map.,Priority 2,General,,,4,5,5,3,Powerful but needs careful explanation.,🟠 High,🔵 Flagship,🔵 Flagship,🟡 Moderate,🟡 Caution,2.9
Architecture,Structural vs investment dimensions,"Separate observed structure, investment profile, and outcome dimensions.",Future,General,,,5,5,5,2,Major architecture expansion.,🔴 Project Risk,🔵 Flagship,🔵 Flagship,🟠 Weak,🔴 Dangerous,2.4
Architecture,Worldwide system extension,"Extend framework beyond Europe to OECD, global countries, sectors, or other systems.",Future,General,,,5,5,4,2,Long-term platform extension.,🔴 Project Risk,🔵 Flagship,🟠 Strong,🟠 Weak,🔴 Dangerous,2.05
Topology,Cluster navigation pathways,"Navigate anchor, bridge, and pathway transitions between country clusters.",Future,General,,,5,5,5,2,Strong platform idea.,🔴 Project Risk,🔵 Flagship,🔵 Flagship,🟠 Weak,🔴 Dangerous,2.4
Topology,UMAP topology,Nonlinear topology embedding for neighborhood similarity.,Future,General,,,5,5,4,2,Research feature; high explanation risk.,🔴 Project Risk,🔵 Flagship,🟠 Strong,🟠 Weak,🔴 Dangerous,2.05
Topology,Interactive topology animation,Animated movement through structural space.,Future,General,,,5,5,3,1,Very high UX/technical risk.,🔴 Project Risk,🔵 Flagship,🟡 Noticeable,🔴 Speculative,🔴 Dangerous,1.5
