country,country_name,archetype_label,archetype_type,is_core_archetype,is_secondary_archetype,dim_sustainability_capacity,dim_human_capital_capacity,dim_innovation_capacity,dim_social_stability,dim_fiscal_flexibility,dim_adaptive_transformation,dim_security_reprioritization
AT,Austria,Other EU country,other,False,False,0.08327000168258078,0.2732737213823171,0.9793629975671552,0.9525346598548541,-0.4163288804431617,1.5235500000000004,-0.8559340155581456
BE,Belgium,Other EU country,other,False,False,-0.04374401114161655,0.3974185782278129,0.9607188876073183,0.7433052626734054,-0.721702286939482,1.7005833333333333,-0.7065308432802088
BG,Bulgaria,Other EU country,other,False,False,-0.15166142378026903,-0.2545881794100671,-0.5650599791174213,-0.8659447918542988,0.7227885884764168,1.5763500000000008,0.5557885883564251
HR,Croatia,Other EU country,other,False,False,0.5223476728561324,0.40706278384363836,-0.285998035084125,-0.11249396513968588,-0.12450288484597391,1.689583333333334,-0.03445536251538027
CY,Cyprus,Other EU country,other,False,False,-0.5556350044291136,0.23460424373844097,-0.8127933828189626,-0.7107558851557247,-0.030028967364691822,3.4079666666666664,0.19911153454331357
CZ,Czechia,Other EU country,other,False,False,-0.36339087884204546,0.44336452024224704,0.09497156721352382,0.5532419744487045,0.35809398390868324,0.5653499999999998,-0.1274795695371555
DK,Denmark,Other EU country,other,False,False,0.12981314538412336,0.2944051943480559,0.608231751396674,0.8935910752629428,0.2723209324801108,2.4415666666666684,-0.1419100314937911
EE,Estonia,Digital Adaptive-State Spotlight,secondary_reference,False,True,-0.1310478563483723,0.7589807373026853,0.21911559453982668,-0.4425769519402765,0.6422457398729999,1.6154833333333358,1.1127305176855355
FI,Finland,Nordic Resilience Variant,secondary_reference,False,True,0.038388251975413845,0.7712596572353948,1.1884990051213709,0.9096478869139306,-0.31209500406200075,2.063099999999999,-0.3134752658831885
FR,France,Other EU country,other,False,False,0.231776860775395,0.058773743745996976,0.28021756438532963,0.8237470696297525,-0.7991703746743957,1.8653,0.4733709044024752
DE,Germany,Industrial Innovation Core,core_archetype,True,False,-0.5348356260850688,-0.09315848397518431,0.6204212866869571,0.5898872908510558,-0.01038729638463854,1.186116666666667,0.01927197197382499
EL,Greece,Fragility / Crisis-Response Reference,secondary_reference,False,True,0.3129314916720461,-0.5762085918711812,-0.6396910328625757,-0.7275671833879788,-1.4191678075107483,3.9915000000000003,1.3920698569325658
HU,Hungary,Other EU country,other,False,False,-0.1361247882921523,0.16426045112702897,0.08124819740828426,-0.2455973454598988,-0.3435250059621024,0.22288333333333346,0.1651396365624868
IE,Ireland,Other EU country,other,False,False,-1.1314544955810464,-0.5949300906892502,-0.3115243091646671,-0.642025673162945,0.8975933338691295,0.698683333333333,-1.3913961805699007
IT,Italy,Mature Fiscal-Stabilization Economy,core_archetype,True,False,0.13237377202901923,-1.450024004820885,-0.38486094058416975,0.10714497535904777,-0.9583067286851713,1.2812166666666662,0.1311460255638296
LV,Latvia,Other EU country,other,False,False,0.6985944101104695,0.9184975581121586,-0.569625539569058,-0.8808649042282348,0.32307252877400333,1.3405166666666655,1.1245837795905627
LT,Lithuania,Other EU country,other,False,False,0.07624591013763199,0.7314245701339303,-0.778100545980422,-0.7938258929941733,0.5457671473971836,1.8814666666666662,0.3792922460098547
LU,Luxembourg,Other EU country,other,False,False,-1.0792832656120628,-0.2977383405828906,0.20718721267275958,0.0034970669435855084,0.6396043215833463,1.5647166666666674,-1.1030474976511564
MT,Malta,Other EU country,other,False,False,0.424119712905961,-1.1692672463232743,-0.41701266980184537,-0.43409830118754805,0.5685885422190147,1.7919666666666667,-0.4196087653090493
NL,Netherlands,Agile Efficiency Transition,core_archetype,True,False,0.06567172544022651,-0.1047878559111952,0.5501001577145468,0.43717274994478506,0.21928601348791152,3.0538833333333337,0.14000650780484772
PL,Poland,Convergence-Transition Economy,core_archetype,True,False,-0.6882525459185381,0.6870243336987116,-0.42436527643805666,0.05389464146707722,0.15472719227167894,1.3404499999999995,0.5740522808637276
PT,Portugal,Other EU country,other,False,False,0.4565664901767682,-1.6845732345138749,-0.3245131160165019,-0.1324994923280542,-0.5094576633684026,2.438083333333335,-0.7448694081751122
RO,Romania,Peripheral Convergence Pathway,secondary_reference,False,True,0.3210323146066461,-0.7705548124511099,-1.0679619461010128,-0.6951675030832583,0.40285472149158374,-0.2213833333333329,0.14145482577026297
SK,Slovakia,Other EU country,other,False,False,-0.14736353647536954,0.4131159999753164,-0.5203925599465424,0.21247729821887187,0.1582555501320501,1.3099666666666665,0.27782313635946215
SI,Slovenia,Other EU country,other,False,False,-0.022210374868473947,0.7140644394065768,0.17142691412695343,0.5891817633060542,-0.09550638550997959,0.8166,-0.22607375627454804
ES,Spain,Southern Transformation Pathway,core_archetype,True,False,0.23080260090372953,-1.434765719523468,-0.38348517164802515,-0.6227986716066837,-0.3531267010376485,3.1325833333333333,-0.46005623294564263
SE,Sweden,Sustainability-Innovation Frontier,core_archetype,True,False,1.2610694467179862,1.1630660275520532,1.52388336869269,0.43689284665469386,0.18810739082428868,2.2408000000000015,-0.1610048832258948
