layer,source,target,evidence_level,base_weight
Investment,Education,Human Capital,A,85
Investment,Defense,Security,A,85
Investment,Social Protection,Fiscal Flexibility,A,85
Investment,Social Protection,Social Stability,B,65
Investment,Education,Innovation,B,65
Investment,Social Protection,Innovation,B,65
Investment,Environment,Sustainability,C,35
Investment,Social Protection,Adaptive Transformation,C,35
Investment,Education,Social Stability,D,10
Investment,Education,Sustainability,D,10
Investment,Defense,Adaptive Transformation,D,10
Investment,Economic Affairs,Fiscal Flexibility,D,10
Investment,Education,Fiscal Flexibility,D,10
Investment,Economic Affairs,Innovation,D,10
Investment,Economic Affairs,Sustainability,D,10
Investment,Economic Affairs,Adaptive Transformation,D,10
Investment,Defense,Fiscal Flexibility,D,10
Investment,Environment,Adaptive Transformation,D,10
Dimension,Innovation,Social Stability,A,85
Dimension,Social Stability,Security,B,65
Dimension,Human Capital,Innovation,C,35
Dimension,Fiscal Flexibility,Adaptive Transformation,C,35
Dimension,Sustainability,Fiscal Flexibility,C,35
Dimension,Innovation,Security,D,10
Dimension,Human Capital,Social Stability,D,10
Dimension,Social Stability,Fiscal Flexibility,D,10
Dimension,Sustainability,Security,D,10
